date,tweetcount,closelast,volume,open,high,low,sell,buy,iraneventcount,alleventcount,covidtrend,irantrend,new_cases,cumulative_cases,new_deaths,cumulative_deaths,globalnew_cases,globalcumulative_cases,global_new_deaths,global_cumulative_deaths,tweetscovidnofarsi,tweetsnofarsi,tweetsenglish,tweetscovid,iranprotest,iranmatconf,year,month,day,statadate,irneventpr,newcasepr,cumcasepr,newdeathpr,cumdeathpr
2020-09-10,571,40.060001,23542,40.639999,40.950001,39.720001,25700,25600,20,1845,30,3,2313,393425,127,22669,272234,28187997,5175,953216,42,478,265,42,0,1,2020,9,10,10sep2020,.010840109,.0084963674,.013957182,.024541063,.023781598
2020-09-11,853,39.830002,174,39.950001,39.959999,39.73,25700,25600,24,2013,30,3,2063,395488,129,22798,300413,28488410,6298,959514,31,752,312,31,0,0,2020,9,11,11sep2020,.011922504,.0068672127,.013882417,.020482693,.023759944
2020-09-12,1352,39.830002,174,39.950001,39.959999,39.73,26300,26200,24,1065,30,3,2313,397801,115,22913,304545,28792955,6044,965558,50,1242,460,50,0,1,2020,9,12,12sep2020,.02253521,.0075949365,.013815914,.019027134,.023730319
2020-09-13,1673,39.830002,174,39.950001,39.959999,39.73,26900,26800,21,981,46,2,2139,399940,116,23029,324462,29117417,5705,971263,91,1495,718,91,0,1,2020,9,13,13sep2020,.021406727,.0065924516,.013735422,.020333041,.023710364
2020-09-14,1074,39.610001,21703,39.77,40.09,39.310001,26270,26170,40,1834,46,2,2089,402029,128,23157,296932,29414349,5064,976327,50,955,307,50,0,1,2020,9,14,14sep2020,.02181025,.0070352806,.013667785,.025276462,.023718487
2020-09-15,704,40.529999,237,39.66,40.73,40.509998,26870,26770,33,1894,46,2,2619,404648,156,23313,257359,29671708,4607,980934,28,624,321,28,0,0,2020,9,15,15sep2020,.017423442,.010176446,.013637503,.033861514,.023766125
2020-09-16,1351,42.220001,521,40.75,42.439999,42.220001,26900,26800,31,1948,46,2,2705,407353,140,23453,269946,29941654,4816,985750,57,1280,666,57,0,0,2020,9,16,16sep2020,.015913758,.010020522,.013604893,.029069768,.023792036
2020-09-17,2229,43.299999,15583,42.259998,43.509998,41.52,26950,26850,27,1813,46,2,2981,410334,179,23632,314099,30255753,6058,991808,63,2166,614,63,0,0,2020,9,17,17sep2020,.014892443,.009490638,.013562181,.029547706,.023827191
2020-09-18,743,43.150002,25486,43.259998,43.220001,42.689999,26950,26850,13,1654,46,2,2815,413149,176,23808,320118,30575871,6128,997936,38,565,317,38,0,0,2020,9,18,18sep2020,.0078597339,.0087936325,.013512257,.028720627,.023857241
2020-09-19,726,43.150002,25486,43.259998,43.220001,42.689999,26780,26680,34,857,46,2,3049,416198,144,23952,309384,30885255,5538,1003474,35,632,377,35,0,1,2020,9,19,19sep2020,.03967328,.0098550664,.013475621,.026002167,.023869079
